Mon Nov 04 21:46:30 +0000 2019,hi from rehearsal. i’m so fuckin excited to see u next week bye.,hi from rehearsal. i’m so fuckin excited to see u next week bye.
Mon Nov 04 02:22:16 +0000 2019,u will neeeeeeeever understand just how much. just sayin.,u will neeeeeeeever understand just how much. just sayin.
Mon Nov 04 02:21:37 +0000 2019,@notearstocryy @moonlighostin @casuallybutera deal. i love uuuuuuuuu.,@notearstocryy @moonlighostin @casuallybutera deal. i love uuuuuuuuu.
Mon Nov 04 02:20:28 +0000 2019,@mrskinnyjeanz3 me too ! 😭,@mrskinnyjeanz3 me too ! 
Mon Nov 04 02:20:01 +0000 2019,@moonlighostin @casuallybutera i had to break the girls up somehow,@moonlighostin @casuallybutera i had to break the girls up somehow
Mon Nov 04 02:18:51 +0000 2019,@lovingsweetener @casuallybutera neva muted ! i don’t know why my algorithm is so perculiar but. i really don’t mute people often.,@lovingsweetener @casuallybutera neva muted ! i don’t know why my algorithm is so perculiar but. i really don’t mute people often.
Mon Nov 04 02:17:26 +0000 2019,@casuallybutera we done trolling each other for now???,@casuallybutera we done trolling each other for now???
Mon Nov 04 02:10:59 +0000 2019,y’all kill me. love u sm.,y’all kill me. love u sm.
Mon Nov 04 01:51:25 +0000 2019,@suchsdream @brderlinebutera @99LTJ more than anything,@suchsdream @brderlinebutera @99LTJ more than anything
Mon Nov 04 01:50:07 +0000 2019,@brderlinebutera @99LTJ brats. spoiled spoiled brats i raised.,@brderlinebutera @99LTJ brats. spoiled spoiled brats i raised.
Mon Nov 04 01:47:51 +0000 2019,@99LTJ man now why can’t y’all just stick to bein cute 😭🥺,@99LTJ man now why can’t y’all just stick to bein cute 🥺
Mon Nov 04 01:41:49 +0000 2019,@youthevans @ThePopHub 🌨,@youthevans @ThePopHub 
Mon Nov 04 01:38:33 +0000 2019,@ThePopHub we’re just always playin,@ThePopHub we’re just always playin
Mon Nov 04 01:37:57 +0000 2019,@ThePopHub love you :) thank you,@ThePopHub love you :) thank you
Mon Nov 04 01:36:04 +0000 2019,@sorryidipped why oh why do i love y’all the way i do.,@sorryidipped why oh why do i love y’all the way i do.
Mon Nov 04 01:29:34 +0000 2019,@reedgreenwelll @ThePopHub THIS WAS THE FINAL STRAW https://t.co/8tKJTKXsOJ,@reedgreenwelll @ThePopHub THIS WAS THE FINAL STRAW 
Mon Nov 04 01:27:54 +0000 2019,@ThePopHub lemme joke w my stans stop paying sm attention to me.,@ThePopHub lemme joke w my stans stop paying sm attention to me.
Mon Nov 04 00:21:11 +0000 2019,@imagineprfct @ghonstins @wedecideit love u more neva forget. stop fighting pls. love y’all.,@imagineprfct @ghonstins @wedecideit love u more neva forget. stop fighting pls. love y’all.
Mon Nov 04 00:20:05 +0000 2019,@ghonstins @wedecideit nah i don’t thank god. but. i do hate when i log on and see y’all fighting. love u too much for that shit.,@ghonstins @wedecideit nah i don’t thank god. but. i do hate when i log on and see y’all fighting. love u too much for that shit.
Mon Nov 04 00:18:56 +0000 2019,@caIImeangels @wedecideit false.,@caIImeangels @wedecideit false.
Mon Nov 04 00:15:57 +0000 2019,@wedecideit but also .... why do y’all always be fighting oh my god BREAK IT UP ALREADY,@wedecideit but also .... why do y’all always be fighting oh my god BREAK IT UP ALREADY
Sun Nov 03 23:34:18 +0000 2019,oooooo please ! retweet. https://t.co/9xhuhpWOXO,oooooo please ! retweet. 
Sun Nov 03 18:19:32 +0000 2019,:o !!! https://t.co/cdb4tgFGoq,:o !!! 
Sun Nov 03 18:17:28 +0000 2019,:),:)
Sun Nov 03 18:14:37 +0000 2019,it’s also just my favorite. for endless reasons. love u @TBHITS @SocialHouseTC @VictoriaMonet @TAYLAPARX.,it’s also just my favorite. for endless reasons. love u @TBHITS @SocialHouseTC @VictoriaMonet @TAYLAPARX.
Sun Nov 03 18:11:20 +0000 2019,"anyway, not sure why this anniversary has made me ramble on so much but .... my heart feels good. even though everything is up in the air / i still have a million questions ... i’ve accepted it and feel somewhat whole and that feels like something worth sharing. i guess. love u.","anyway, not sure why this anniversary has made me ramble on so much but .... my heart feels good. even though everything is up in the air / i still have a million questions ... i’ve accepted it and feel somewhat whole and that feels like something worth sharing. i guess. love u."
Sun Nov 03 18:08:38 +0000 2019,update: i still don’t know shit ab love or have a clue what a personal life looks like other than hanging with pups and piggy which i’ve learned is ... actually ... more than enough !,update: i still don’t know shit ab love or have a clue what a personal life looks like other than hanging with pups and piggy which i’ve learned is ... actually ... more than enough !
Sun Nov 03 18:06:41 +0000 2019,"it’s been one hall of a productive, emotional, wild and yet ... happy! year. thankful for my babies who have provided me with endless strength, energy and inspiration... and to my friends who have held me together on the road and at home. i’m sure they’re just as exhausted lmao.","it’s been one hall of a productive, emotional, wild and yet ... happy! year. thankful for my babies who have provided me with endless strength, energy and inspiration... and to my friends who have held me together on the road and at home. i’m sure they’re just as exhausted lmao."
Sun Nov 03 18:03:27 +0000 2019,"happy birthday ‘thank u, next’. 
i can’t believe i’ve spent more time alone this year than i have in my life, i can’t believe how many sessions w my therapist i’ve had, how many times i’ve sung this song, how much i’ve learned and healed, how much i still have to learn and heal !","happy birthday ‘thank u, next’. 
i can’t believe i’ve spent more time alone this year than i have in my life, i can’t believe how many sessions w my therapist i’ve had, how many times i’ve sung this song, how much i’ve learned and healed, how much i still have to learn and heal !"
Sat Nov 02 19:26:43 +0000 2019,final leg of tour starts next week 🖤 love u &amp; can’t wait to see u soon https://t.co/Fcg8VPzmeS,final leg of tour starts next week  love u &amp; can’t wait to see u soon 
Sat Nov 02 19:11:17 +0000 2019,@fagtera it’s not that bad 😭 be nice ! i be seeing y’all (well for the most part),@fagtera it’s not that bad  be nice ! i be seeing y’all (well for the most part)
Sat Nov 02 19:04:32 +0000 2019,insane. love y’all sm. https://t.co/v7sA6sdkCk,insane. love y’all sm. 
Sat Nov 02 19:01:50 +0000 2019,@caughtupinari @gngbeca @sluttypinkfairy !!!!,@caughtupinari @gngbeca @sluttypinkfairy !!!!
Sat Nov 02 19:00:09 +0000 2019,@gngbeca @sluttypinkfairy @caughtupinari sometimes yes haha,@gngbeca @sluttypinkfairy @caughtupinari sometimes yes haha
Sat Nov 02 18:58:12 +0000 2019,@sluttypinkfairy @caughtupinari i kno. i’m actually v shy and private bout my everyday life stuff. :’),@sluttypinkfairy @caughtupinari i kno. i’m actually v shy and private bout my everyday life stuff. :’)
Sat Nov 02 18:56:12 +0000 2019,@youraridream @caughtupinari oh never,@youraridream @caughtupinari oh never
Sat Nov 02 18:56:12 +0000 2019,@youraridream @caughtupinari oh never,@youraridream @caughtupinari oh never
Sat Nov 02 18:55:56 +0000 2019,@zaynintro @caughtupinari i just don’t wear them on stage 😭,@zaynintro @caughtupinari i just don’t wear them on stage 
Sat Nov 02 18:55:08 +0000 2019,@ariherbibble @caughtupinari well i’m able to enjoy it when i am,@ariherbibble @caughtupinari well i’m able to enjoy it when i am
Sat Nov 02 18:53:23 +0000 2019,@caughtupinari i do both when i’m home everyday lol,@caughtupinari i do both when i’m home everyday lol
Sat Nov 02 04:15:33 +0000 2019,what https://t.co/Z3thBtAli2,what 
Fri Nov 01 23:38:38 +0000 2019,@ehsanxh tf is cheater,@ehsanxh tf is cheater
Fri Nov 01 23:38:18 +0000 2019,nah. https://t.co/hgJM5WToLa,nah. 
Fri Nov 01 23:36:51 +0000 2019,that makes me so so happy. thank you and love youuuu. https://t.co/zrmXEKbLxF,that makes me so so happy. thank you and love youuuu. 
Fri Nov 01 23:34:57 +0000 2019,thank you my love. wish we could’ve but i’m so happy everybody’s loving it. :) https://t.co/UCs6V9SL9W,thank you my love. wish we could’ve but i’m so happy everybody’s loving it. :) 
Fri Nov 01 23:32:28 +0000 2019,"nah, we made it after but it sure seems like it could’ve been huh https://t.co/RUNlFlh2pM","nah, we made it after but it sure seems like it could’ve been huh "
Fri Nov 01 23:31:42 +0000 2019,now listen https://t.co/VdWpFVpjPC,now listen 
Fri Nov 01 23:31:06 +0000 2019,boy remember where you come frommnnm https://t.co/FapPQFRjGL,boy remember where you come frommnnm 
Fri Nov 01 23:30:14 +0000 2019,you ain’t muted keep it cute https://t.co/2BuIfUUZYH,you ain’t muted keep it cute 
Fri Nov 01 23:25:16 +0000 2019,love you https://t.co/bbqq7q1Nbb,love you 
Fri Nov 01 23:23:57 +0000 2019,thank you baby https://t.co/QaStpG89It,thank you baby 
Fri Nov 01 23:22:24 +0000 2019,love you sooooo much https://t.co/KpD5B1JEwd,love you sooooo much 
Fri Nov 01 19:32:24 +0000 2019,love y’all sm. excited for next leg. thank you for everything.,love y’all sm. excited for next leg. thank you for everything.
Fri Nov 01 19:20:41 +0000 2019,thank you for allowing me to be a part of it all ! can’t wait to seeeee it in theaters a hundred times. love and gratitude. https://t.co/j1PW26iRwf,thank you for allowing me to be a part of it all ! can’t wait to seeeee it in theaters a hundred times. love and gratitude. 
Fri Nov 01 18:37:07 +0000 2019,what’s your favorite ? https://t.co/B3vPrMOyia,what’s your favorite ? 
Fri Nov 01 18:36:02 +0000 2019,i love uuuuuuu. thank u so much. https://t.co/hsv4qYU2zq,i love uuuuuuu. thank u so much. 
Fri Nov 01 18:34:24 +0000 2019,my baby cutie https://t.co/RhQqqRIjsr,my baby cutie 
Fri Nov 01 04:02:55 +0000 2019,"the @CharliesAngels soundtrack is out now 🖤 it’s been an honor co-producing this with u @Savan_Kotecha, ilya, max. thank you for including me @ElizabethBanks 👼🏼 enjoy and let us know what you think https://t.co/B3vPrMOyia https://t.co/q30Rese8cq","the @CharliesAngels soundtrack is out now  it’s been an honor co-producing this with u @Savan_Kotecha, ilya, max. thank you for including me @ElizabethBanks  enjoy and let us know what you think  "
Fri Nov 01 03:48:08 +0000 2019,love u sm https://t.co/8iKngyNMpb,love u sm 
Fri Nov 01 01:54:40 +0000 2019,🖤 https://t.co/dEU1PpZ1qz, 
Fri Nov 01 00:58:11 +0000 2019,🤍 https://t.co/oP7skphlXi,🤍 
Fri Nov 01 00:52:11 +0000 2019,my sweet girl. she fell asleep on my lap. https://t.co/cp2FsUyDzm,my sweet girl. she fell asleep on my lap. 
Fri Nov 01 00:39:07 +0000 2019,ⁿᵒˢᵉ ʰᵒˡᵉˢ https://t.co/EdjZxziZ8a,ⁿᵒˢᵉ ʰᵒˡᵉˢ 
Fri Nov 01 00:37:26 +0000 2019,🙂😌 https://t.co/k4BEaYIx6E, 
Thu Oct 31 23:58:14 +0000 2019,four https://t.co/8JVT2cwArq,four 
Thu Oct 31 23:57:55 +0000 2019,this is so sweet https://t.co/JGUTpaQoMq,this is so sweet 
Thu Oct 31 21:17:22 +0000 2019,so soon. love u. go to sleeeep. https://t.co/36Zvqz3pbn,so soon. love u. go to sleeeep. 
Thu Oct 31 21:16:43 +0000 2019,happy halloween. https://t.co/XCMKZotZjS,happy halloween. 
Thu Oct 31 21:13:58 +0000 2019,i love u i promise i’m kidding https://t.co/nKu8n4icKb,i love u i promise i’m kidding 
Thu Oct 31 21:13:16 +0000 2019,haaaaaaaaaaa https://t.co/iDgubk6Eb5,haaaaaaaaaaa 
Thu Oct 31 21:12:33 +0000 2019,don’t make me get out my reebok photos. https://t.co/wF4mlFVAhD,don’t make me get out my reebok photos. 
Thu Oct 31 21:06:45 +0000 2019,love uuuuuu. https://t.co/Gaiz0OBzR2,love uuuuuu. 
Thu Oct 31 21:06:10 +0000 2019,there’s so much happening i’m overwhelmed. but imy and love u. gonna miss these countdowns for a lil. 🤍 https://t.co/9nlACc8XXW,there’s so much happening i’m overwhelmed. but imy and love u. gonna miss these countdowns for a lil. 🤍 
Thu Oct 31 21:04:53 +0000 2019,🤍🕸💻 https://t.co/OvapkZbgPj,🤍 
Thu Oct 31 21:00:58 +0000 2019,let’s go seven https://t.co/MZsHgM6EWI,let’s go seven 
Thu Oct 31 20:42:37 +0000 2019,yeee https://t.co/kZuywstN1Y,yeee 
Thu Oct 31 17:24:14 +0000 2019,love u most https://t.co/i7ChGJHV52,love u most 
Thu Oct 31 17:23:20 +0000 2019,mine too. so nervous and excited. last one for a while. love u the most. https://t.co/xtmm0YL6JR,mine too. so nervous and excited. last one for a while. love u the most. 
Thu Oct 31 16:54:00 +0000 2019,me too so much https://t.co/uje4HXbXqe,me too so much 
Thu Oct 31 16:32:13 +0000 2019,👼🏼💻 https://t.co/qHRu4HjKEf, 
Thu Oct 31 16:23:01 +0000 2019,soundtrack tonight @CharliesAngels @ElizabethBanks @Savan_Kotecha 👼🏼,soundtrack tonight @CharliesAngels @ElizabethBanks @Savan_Kotecha 
Thu Oct 31 07:45:45 +0000 2019,of course. she needs a storyline. https://t.co/NZ7x5eUCeG,of course. she needs a storyline. 
Thu Oct 31 07:42:47 +0000 2019,i’ve abandoned it. i’ve committed to my theme. reapplying my prosthetics and serving a new haunted hotel twilight zone hostess look. nothing makes me more feel more joy. even if i can’t breathe or drink or eat. https://t.co/GzMYkHky1k,i’ve abandoned it. i’ve committed to my theme. reapplying my prosthetics and serving a new haunted hotel twilight zone hostess look. nothing makes me more feel more joy. even if i can’t breathe or drink or eat. 
Thu Oct 31 07:38:45 +0000 2019,talking to you cuties. watching twilight zone. excited ab halloween. https://t.co/r9687CUPWS,talking to you cuties. watching twilight zone. excited ab halloween. 
Thu Oct 31 07:37:34 +0000 2019,the time is now. like rn. https://t.co/BpKiK8GlMZ,the time is now. like rn. 
Thu Oct 31 07:35:12 +0000 2019,the consistency https://t.co/mypKfaVE0g,the consistency 
Thu Oct 31 07:33:58 +0000 2019,thank u. i’ve never been more thrilled about anything. https://t.co/zV9TwIIK4R,thank u. i’ve never been more thrilled about anything. 
Thu Oct 31 07:31:49 +0000 2019,not yet finished. but..... i really can’t imagine this going away any time soon. and by that i mean ever. https://t.co/bJzIu5AfF8,not yet finished. but..... i really can’t imagine this going away any time soon. and by that i mean ever. 
Thu Oct 31 07:29:11 +0000 2019,i’m so incredibly pleased with my theme this year. and the decorations. can’t wait to keep my home disguised as the twilight zone for the rest of my life.,i’m so incredibly pleased with my theme this year. and the decorations. can’t wait to keep my home disguised as the twilight zone for the rest of my life.
Thu Oct 31 07:14:17 +0000 2019,happppy halloweeeeeeeeen,happppy halloweeeeeeeeen
Thu Oct 31 02:58:14 +0000 2019,ok https://t.co/uniK2Yylb4,ok 
Thu Oct 31 02:34:45 +0000 2019,yodeling https://t.co/By47WbCcGb,yodeling 
Thu Oct 31 02:14:03 +0000 2019,@tbyarianagb crying,@tbyarianagb crying
Wed Oct 30 23:26:25 +0000 2019,https://t.co/HG4ZpMpJqv,
Wed Oct 30 22:49:16 +0000 2019,eye of the beholder  👁 🖤 https://t.co/5kDU0MBRwy,eye of the beholder    
Wed Oct 30 22:17:14 +0000 2019,happy halloween’s eve 🖤 https://t.co/ItmwCg2WRq,happy halloween’s eve  
Wed Oct 30 17:15:56 +0000 2019,https://t.co/yrDjAKGTJA,
Wed Oct 30 17:12:14 +0000 2019,love uuuu https://t.co/KOE3RK0HvD,love uuuu 
Wed Oct 30 17:03:01 +0000 2019,@mykallife butternut squash,@mykallife butternut squash
Wed Oct 30 17:02:48 +0000 2019,@mykallife miso,@mykallife miso
Wed Oct 30 02:45:51 +0000 2019,https://t.co/E43qdevgc8,
Wed Oct 30 00:03:11 +0000 2019,@diornasa HAHAHHAAHAHHAHAAH,@diornasa HAHAHHAAHAHHAHAAH
Wed Oct 30 00:02:53 +0000 2019,"@alldatgrande nah thank you i appreciate that! just want people to understand the project and how many people’s visions are involved. can’t control that tho i guess. love you. eeee. the caring, people pleasing cancer in me jumped out.","@alldatgrande nah thank you i appreciate that! just want people to understand the project and how many people’s visions are involved. can’t control that tho i guess. love you. eeee. the caring, people pleasing cancer in me jumped out."
Tue Oct 29 23:57:49 +0000 2019,@remhaIo @GeigelAshley love u,@remhaIo @GeigelAshley love u
